,val_loss,val_x_label_output_loss,val_y_label_output_loss,val_z_label_output_loss,val_x_label_output_acc,val_y_label_output_acc,val_z_label_output_acc,loss,x_label_output_loss,y_label_output_loss,z_label_output_loss,x_label_output_acc,y_label_output_acc,z_label_output_acc
617,1.1309072874719277,0.3722182180672462,0.2342319896375784,0.1522388402668713,0.890625,0.9375,0.984375,1.3918120213784277,0.44440729785765143,0.40710446644516196,0.09589294595736275,0.828125,0.859375,0.953125
618,1.1809146248851903,0.4220905895261353,0.3348338318047581,0.0018996003422895313,0.8125,0.859375,1.0,1.2996283350221347,0.4381005754544276,0.4218240170284844,0.0016031572748160805,0.859375,0.8125,1.0
619,1.6068663882906549,0.5043868601514987,0.518751361338218,0.07934129543799551,0.78125,0.796875,0.984375,1.5077484544017352,0.49237309073942015,0.3505428609581005,0.17245940586019448,0.8125,0.890625,0.96875
620,1.1757658586720936,0.43126718058192637,0.3080782740084942,0.005153222446734107,0.859375,0.84375,1.0,1.645245164167136,0.49726152140283375,0.28562202268949477,0.3651000930749164,0.828125,0.921875,0.9375
621,1.632532639821875,0.4452469707678546,0.31012635910869335,0.43191232545359015,0.84375,0.890625,0.9375,1.1277447327156551,0.3985187131765997,0.2994806181793592,0.03122667554873715,0.84375,0.921875,0.984375
622,1.3569661548390286,0.39545717312671513,0.17418599438360616,0.3918657904497389,0.78125,0.96875,0.96875,1.3630421588895842,0.48388992715118206,0.3938960267420981,0.001366253976637477,0.734375,0.859375,1.0
623,1.5542071969248354,0.5706691725695237,0.40127852850127965,0.011590328255838722,0.734375,0.890625,1.0,1.3358184904791415,0.4495381098240614,0.35543999365427226,0.08130225805623392,0.78125,0.875,0.984375
624,1.2982233165530488,0.44334942663044785,0.35225691323080355,0.059267535245677516,0.828125,0.890625,0.984375,1.5079644600045867,0.48886147318444273,0.47591186775935057,0.05432965658139843,0.8125,0.859375,0.984375
625,1.227495054481551,0.37730697052757023,0.4483479315460954,0.02453317840242053,0.859375,0.796875,0.984375,1.304574281675741,0.4501279004070966,0.3978468027034978,0.006471658487441578,0.859375,0.796875,1.0
626,1.3263784150913125,0.3349263686454833,0.6539419776460704,0.002583699919329163,0.890625,0.765625,1.0,0.9700849847868085,0.33342221890171686,0.30310295217805105,0.00013757839039429953,0.859375,0.890625,1.0
627,1.748807288124226,0.6543171136981982,0.4400789701182646,9.408907793972965e-05,0.65625,0.890625,1.0,1.443530249001924,0.5472822279516549,0.3460301913717103,0.0029356035847238893,0.8125,0.84375,1.0
628,1.5119267329573631,0.48729901488036376,0.5372630568343624,6.563878109311361e-05,0.734375,0.796875,1.0,1.5023405276006088,0.5560352440625138,0.3895478771091234,0.0007221568500970221,0.78125,0.828125,1.0
629,1.1908405207796022,0.4160351337723114,0.3583106488076737,0.00045960350452478593,0.890625,0.84375,1.0,1.7453610726515763,0.5712456561213912,0.6004102110558733,0.0024595584229962775,0.859375,0.765625,1.0
630,1.4311361271247733,0.446076764037457,0.5358767378102129,0.0031058705194957348,0.8125,0.828125,1.0,1.0507207636837848,0.3271025127005487,0.39640617288017665,0.00010954988945655053,0.890625,0.828125,1.0
631,1.3813808595295995,0.4524387643687078,0.4751177915133553,0.0013855279450716296,0.796875,0.828125,1.0,1.5078488599974662,0.48820230817364063,0.528084884652344,0.0033593609662547763,0.8125,0.84375,1.0
632,1.1069667260162532,0.44482519289886113,0.20851857629895676,0.008797759935099236,0.84375,0.953125,1.0,1.0000966188963503,0.29254250464146025,0.41482412918777456,0.0001874793101719341,0.953125,0.875,1.0
633,1.4085146668367088,0.5121620489395191,0.38241729598667007,0.001773259620515999,0.765625,0.859375,1.0,0.9910493131392286,0.3998265062114683,0.19137014295358412,2.615372457470677e-05,0.828125,0.90625,1.0
634,1.4449267138843425,0.6165324234462197,0.21133859996552928,0.0005232587647665543,0.828125,0.9375,1.0,1.3776997127642971,0.41641414814628064,0.5448254117982287,4.597899035863051e-05,0.8125,0.8125,1.0
635,1.7521264750976115,0.6131927167261892,0.5254712868269849,0.0002697465790848508,0.734375,0.796875,1.0,1.307778897404205,0.4364960844213783,0.4342119789961245,0.0005747392680524044,0.859375,0.796875,1.0
